Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:45 AM,50,126,,,,,,,
9:50 AM,138.8,90,1,2,3,,,1,
9:55 AM,192,82,,4,5,,,,
10:00 AM,235.2,63,,2,2,,,,
10:05 AM,254.2,31,1,1,1,,,,
10:10 AM,265.6,26,1,1,1,,,1,
10:15 AM,268.6,31,,1,1,,,2,
10:20 AM,276.8,24,,,,,,,
10:25 AM,275.4,19,,1,1,,,,
10:30 AM,273.2,16,,2,2,,,1,
10:35 AM,269.4,11,1,,,,,,
10:40 AM,268.4,15,,,,,,,
10:45 AM,273.4,11,,,,,,,
10:50 AM,274.2,13,,,,,,,
10:55 AM,273.4,21,,,,,,,
11:00 AM,283.4,17,,2,2,,,,
11:05 AM,283.2,12,,,,,,,
11:10 AM,288.4,14,2,,,,,,
11:15 AM,290.6,20,,1,1,,,,
11:20 AM,290.8,9,,,,,,,
11:25 AM,289,10,1,,,,,1,
11:30 AM,283.8,13,1,,,,,,
11:35 AM,286,10,,,,,,,
11:40 AM,286.4,13,,,,,,,
11:45 AM,280.2,7,,1,1,,,,
11:50 AM,276,4,,,,,,,
11:55 AM,274.6,7,,,,,,,
12:00 PM,271.4,6,1,,,,,,
12:05 PM,264.2,8,,1,1,,,,
12:10 PM,263.8,13,,2,2,,,,
12:15 PM,265.6,11,1,,,,,1,
12:20 PM,265.4,6,,,,,,,
12:25 PM,266.8,8,1,,,,,,
12:30 PM,264.4,4,,,,,,,
12:35 PM,263.2,10,1,,,,,,
12:40 PM,259,7,,,,,,,
12:45 PM,252.8,10,,,,,,,
12:50 PM,251.4,11,,,,,,,
12:55 PM,251.8,9,1,,,,,,
1:00 PM,237,2,,,,,,,
