Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:35 AM,17,6,,,,,,,
9:40 AM,20.4,18,,,,,,,
9:45 AM,43,30,,2,4,,,,
9:50 AM,77.2,45,,1,1,,,,
9:55 AM,110,45,1,1,3,,,1,
10:00 AM,153.4,47,,2,3,,,,
10:05 AM,173,25,,2,3,,,,
10:10 AM,188,19,,,,,,,
10:15 AM,192.6,7,,,,,,,
10:20 AM,188.6,10,3,,,,,,
10:25 AM,192.2,8,,,,,,,
10:30 AM,196.8,6,2,,,,,,
10:35 AM,195.8,6,,,,,,2,
10:40 AM,194.4,4,,1,1,,,,
10:45 AM,194.8,7,,,,,,,
10:50 AM,196.6,9,,,,,,,
10:55 AM,192.8,8,,,,,,,
11:00 AM,197.6,9,1,,,,,,
11:05 AM,198.8,10,,1,1,,,,
11:10 AM,200.4,6,,,,,,,
11:15 AM,195.8,6,,,,,,,
11:20 AM,195.4,8,,,,,,,
11:25 AM,198.4,6,,,,,,,
11:30 AM,196.4,9,,,,,,,
11:35 AM,199.4,5,,,,,,,
11:40 AM,199,,,,,,,,
11:45 AM,201.6,12,,,,,,,
11:50 AM,198,2,,,,,,,
11:55 AM,198.6,6,,,,,,,
12:00 PM,197,4,,,,,,,
12:05 PM,200,11,,,,,,,
12:10 PM,196.8,5,,,,,,,
12:15 PM,197.2,10,,,,,,,
12:20 PM,197,7,,,,,,,
12:25 PM,193,2,,,,,,1,
12:30 PM,191.4,4,,,,,,,
12:35 PM,190.2,4,,1,1,,,,
12:40 PM,188.6,7,,,,,,,
12:45 PM,183.6,3,,,,,,,
12:50 PM,178.2,2,1,,,,,,
12:55 PM,176.6,3,,1,1,,,,
1:00 PM,170.8,2,,,,,,,
1:05 PM,148.8,1,,,,,,,
1:10 PM,134.5,2,,,,,,,
