Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
9:40 AM,20.333333333333332,11,,,,,,,
9:45 AM,23.6,17,,,,,,,
9:50 AM,46,39,,2,2,,,,
9:55 AM,76.8,31,,1,1,,,,
10:00 AM,104,37,,2,2,,,1,
10:05 AM,129.8,23,,,,,,,
10:10 AM,139.6,7,,,,,,1,
10:15 AM,140.2,10,,,,,,,
10:20 AM,141,4,,,,,,,
10:25 AM,146.2,16,,,,,,,
10:30 AM,148.6,6,,,,,,,
10:35 AM,149.8,9,1,,,,,,
10:40 AM,156.2,10,1,,,,,1,
10:45 AM,155.4,8,,,,,,,
10:50 AM,158.6,2,,,,,,,
10:55 AM,158.2,10,,,,,,,
11:00 AM,157.2,4,,,,,,,
11:05 AM,154.4,4,,,,,,,
11:10 AM,156.4,10,,,,,,,
11:15 AM,162,8,,,,,,,
11:20 AM,159.2,6,,,,,,,
11:25 AM,158.4,3,,,,,,,
11:30 AM,160.4,7,,,,,,,
11:35 AM,162.6,10,,,,,,,
11:40 AM,162.8,2,,,,,,,
11:45 AM,162.2,2,,,,,,,
11:50 AM,159.6,2,,,,,,,
11:55 AM,156,7,,,,,,,
12:00 PM,153.2,7,,,,,,,
12:05 PM,152.2,6,,,,,,,
12:10 PM,153.6,3,,,,,,,
12:15 PM,153,5,,,,,,,
12:20 PM,152,4,,1,1,,,,
12:25 PM,146.2,1,,,,,,,
12:30 PM,146.2,4,,,,,,,
12:35 PM,142.8,2,,,,,,,
12:40 PM,139.4,5,,,,,,,
12:45 PM,138.2,1,,1,2,,,,
12:50 PM,136.8,,,1,1,,,,
12:55 PM,136.2,3,,1,1,,,,
1:00 PM,134,4,,,,,,,
1:05 PM,123,2,,,,,,,
