Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
11:40 AM,20,1,,,,,,,
11:45 AM,11.8,10,,1,1,,,,
11:50 AM,23.8,19,,1,1,,,,
11:55 AM,32.4,8,,,,,,,
12:00 PM,39.4,14,,,,,,,
12:05 PM,47.2,3,1,,,,,,
12:10 PM,47.8,10,,,,,,,
12:15 PM,53.6,5,,,,,,,
12:20 PM,55,4,,,,,,,
12:25 PM,56.2,3,,,,,,,
12:30 PM,55.4,5,,,,,,,
12:35 PM,52.8,2,,,,,,,
12:40 PM,53.8,2,,,,,,,
12:45 PM,53.8,3,,,,,,,
12:50 PM,51.4,,,,,,,,
12:55 PM,51,,,,,,,,
1:00 PM,52,2,,,,,,,
1:05 PM,51.8,4,,,,,,,
1:10 PM,53.8,2,,,,,,,
1:15 PM,55,1,,,,,,,
1:20 PM,54.8,2,,,,,,,
1:25 PM,54.2,1,,,,,,,
1:30 PM,53.4,2,1,,,,,,
1:35 PM,54.4,2,,,,,,,
1:40 PM,54.4,4,,,,,,,
1:45 PM,53,2,,,,,,,
1:50 PM,53.2,4,,1,1,,,,
1:55 PM,52,1,,,,,,,
2:00 PM,53,6,,,,,,,
2:05 PM,56.2,7,,1,1,,,,
2:10 PM,54,2,1,,,,,,
2:15 PM,53.2,2,,,,,,,
2:20 PM,51.4,4,,,,,,,
2:25 PM,52.8,,,,,,,,
2:30 PM,52,,,,,,,,
2:35 PM,51.8,,,,,,,,
2:40 PM,51.6,3,,,,,,,
2:45 PM,52.2,3,,,,,,,
2:50 PM,49.4,,,,,,,,
2:55 PM,49.8,2,,,,,,,
3:00 PM,50.4,2,,,,,,,
3:05 PM,50,3,,,,,,,
3:10 PM,50.8,5,,,,,,,
3:15 PM,50.8,4,,,,,,,
3:20 PM,48.4,,,,,,,,
3:25 PM,47.8,,,,,,,,
3:30 PM,46.4,,,,,,,,
3:35 PM,48.4,5,,,,,,,
3:40 PM,48.2,1,,,,,,,
3:45 PM,44.8,2,,,,,,,
3:50 PM,41,,,1,4,,,,
3:55 PM,37.25,1,,,,,,,
