Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
11:40 AM,7,5,,,,,,,
11:45 AM,20.2,23,,,,,,,
11:50 AM,37.4,29,,2,5,,,,
11:55 AM,57,34,,2,3,,,,
12:00 PM,80.4,30,,3,4,,,1,
12:05 PM,92.2,17,,2,3,,,,
12:10 PM,100.6,13,,1,1,,,,
12:15 PM,103.4,7,,,,,,,
12:20 PM,104.8,10,1,,,,,,
12:25 PM,106.2,11,,,,,,,
12:30 PM,107.2,9,,,,,,,
12:35 PM,106.8,5,,,,,,,
12:40 PM,106.4,1,,2,3,,,,
12:45 PM,104.6,7,2,1,1,,,,
12:50 PM,102,4,1,3,5,,,1,
12:55 PM,99,4,,3,7,,,,
1:00 PM,99,3,,,,,,,
1:05 PM,98.4,3,,,,,,,
1:10 PM,99.2,3,,,,,,,
1:15 PM,98,4,,,,,,,
1:20 PM,97.4,4,1,,,,,,
1:25 PM,100.8,7,,,,,,,
1:30 PM,104.4,6,,,,,,,
1:35 PM,101,4,,,,,,,
1:40 PM,99.8,4,,,,,,,
1:45 PM,96.4,3,,,,,,,
1:50 PM,95.8,4,,,,,,,
1:55 PM,88.6,1,,,,,,,
2:00 PM,84.8,6,,,,,,,
2:05 PM,86,5,,,,,,,
2:10 PM,87.6,6,,,,,,,
2:15 PM,88.2,5,,,,,,,
2:20 PM,88.6,4,1,,,,,,
2:25 PM,89.8,5,1,,,,,,
2:30 PM,88.4,4,,,,,,,
2:35 PM,85.6,4,,,,,,,
2:40 PM,84,2,,,,,,,
2:45 PM,81.8,1,,,,,,,
2:50 PM,83.6,3,,,,,,,
2:55 PM,76.4,2,,,,,,,
3:00 PM,76.2,6,,,,,,,
3:05 PM,78.4,5,,,,,,,
3:10 PM,81.4,7,,,,,,,
3:15 PM,81.6,3,,,,,,,
3:20 PM,77.6,2,,,,,,,
3:25 PM,70.5,6,1,,,,,,
