Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
11:40 AM,12.333333333333334,6,,,,,,,
11:45 AM,16,18,,,,,,,
11:50 AM,40.4,28,,,,,,,
11:55 AM,60,28,,,,,,,
12:00 PM,79,24,,,,,,,
12:05 PM,89.2,9,,1,1,,,,
12:10 PM,92.8,9,,,,,,,
12:15 PM,99.2,12,,,,,,,
12:20 PM,101,6,,,,,,,
12:25 PM,99.4,4,,,,,,,
12:30 PM,99,3,,,,,,,
12:35 PM,99.2,6,,,,,,1,
12:40 PM,99.8,5,,,,,,,
12:45 PM,102.4,9,,,,,,,
12:50 PM,100.8,,,,,,,,
12:55 PM,98.2,,,,,,,,
1:00 PM,94.2,2,,,,,,,
1:05 PM,94.6,5,,,,,,,
1:10 PM,97.4,7,,,,,,,
1:15 PM,98.6,6,,1,2,,,,
1:20 PM,100.6,8,,,,,,,
1:25 PM,99.8,6,,1,2,,,,
1:30 PM,101,8,,,,,,,
1:35 PM,102,10,,,,,,,
1:40 PM,102.2,1,,,,,,,
1:45 PM,99.2,1,,,,,,,
1:50 PM,96.8,3,,,,,,,
1:55 PM,97.8,6,,,,,,,
2:00 PM,100.8,4,,,,,,,
2:05 PM,99.6,1,,,,,,,
2:10 PM,98.6,2,,,,,,,
2:15 PM,96,1,,,,,,,
2:20 PM,94.4,4,,,,,,,
2:25 PM,93.8,1,,1,1,,,,
2:30 PM,91,1,,,,,,,
2:35 PM,92,5,,,,,,,
2:40 PM,91.6,6,,,,,,,
2:45 PM,92.2,3,,,,,,,
2:50 PM,90.8,2,,,,,,,
2:55 PM,88,1,,,,,,,
3:00 PM,88,8,,,,,,,
3:05 PM,90.8,5,,,,,,,
3:10 PM,93.4,3,,,,,,,
3:15 PM,91.6,3,,,,,,,
3:20 PM,91,2,,,,,,,
3:25 PM,90.2,2,,,,,,,
3:30 PM,88,4,1,,,,,,
3:35 PM,88.2,1,,,,,,,
3:40 PM,87.6,2,,,,,,,
3:45 PM,87.4,3,,,,,,,
3:50 PM,84,,,,,,,,
3:55 PM,77.8,1,,,,,,,
4:00 PM,68,3,,,,,,,
4:05 PM,34.8,1,,,,,,,
