Timestamp,Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,Subscriptions,Clips Created,All Clip Views
11:40 AM,8.5,13,,,,,,,
11:45 AM,17.4,30,,,,,,,
11:50 AM,58.2,62,1,1,1,,,,
11:55 AM,94,34,1,,,,,,
12:00 PM,116.8,41,1,,,,,,
12:05 PM,131.2,16,,,,,,2,
12:10 PM,136.6,21,1,2,4,,,,
12:15 PM,142.6,13,,,,,,1,
12:20 PM,143.2,14,1,,,,,,
12:25 PM,143.4,7,,,,,,,
12:30 PM,143.8,10,,,,,,,
12:35 PM,140.4,5,,,,,,,
12:40 PM,141.2,9,,,,,,,
12:45 PM,140,7,,,,,,,
12:50 PM,137.8,10,,,,,,1,
12:55 PM,135.6,5,,,,,,,
1:00 PM,134.2,6,,,,,,,
1:05 PM,135.4,9,1,1,2,,,1,
1:10 PM,135.6,8,,,,,,,
1:15 PM,136,2,,,,,,,
1:20 PM,134.6,5,,,,,,,
1:25 PM,136.2,11,,,,,,,
1:30 PM,138.8,4,1,,,,,,
1:35 PM,138.8,8,1,2,3,,,,
1:40 PM,136,1,,,,,,,
1:45 PM,135.6,7,,,,,,,
1:50 PM,126.8,6,,,,,,,
1:55 PM,118.8,7,,,,,,,
2:00 PM,121.4,11,,,,,,,
2:05 PM,123.4,5,,,,,,,
2:10 PM,122.8,4,,,,,,,
2:15 PM,121.6,11,,,,,,,
2:20 PM,122.2,4,,,,,,,
2:25 PM,118.8,,1,,,,,,
2:30 PM,116,2,,,,,,,
2:35 PM,116.6,7,,,,,,,
2:40 PM,118.4,4,,,,,,,
2:45 PM,115.4,4,,1,1,,,,
2:50 PM,114,3,,,,,,,
2:55 PM,112.8,3,,,,,,,
3:00 PM,111.6,2,,,,,,,
3:05 PM,113.4,11,,,,,,,
3:10 PM,94.6,6,,,,,,,
3:15 PM,71,1,,,,,,,
